,Topic,Count,Name,Representation,Representative_Docs
0,-1,2782,-1_hf_prop_hab_lemma,"['hf', 'prop', 'hab', 'lemma', 'type', 'ha', 'isglb', 'lt', 'hb', 'hp']","['theorem exists_mem_cons_iff (p : α → Prop) (a : α) (l : list α) :\n  (∃ x ∈ a :: l, p x) ↔ p a ∨ ∃ x ∈ l, p x', 'lemma injective_of_increasing (r : α → α → Prop) (s : β → β → Prop) [is_trichotomous α r]\n  [is_irrefl β s] (f : α → β) (hf : ∀ {x y}, r x y → s (f x) (f y)) : injective f', 'lemma is_antichain.not_lt (hs : is_antichain (≤) s) (ha : a ∈ s) (hb : b ∈ s) : ¬ a < b']"
1,0,292,0_ps_ext_qs_coemk,"['ps', 'ext', 'qs', 'coemk', 'normalize', 'congrfun', 'ite', 'rrel', 'trunc', 'ppsqs']","[""lemma prod_congr {p p' ps ps' : α} : p = p' → ps = ps' → p * ps = p' * ps'"", 'lemma mul_pf_zero {ps qs : α} : qs = 0 → ps * qs = 0', ""lemma add_pf_sum_z {ps ps' qs : α} : ps = ps' → qs = 0 → ps + qs = ps'""]"
2,1,150,1_reverse_nodup_sublists_list,"['reverse', 'nodup', 'sublists', 'list', 'forall', 'lprod', 'dedup', 'lnodup', 'tolist', 'product']","[""theorem nodup_sublists' {l : list α} : nodup (sublists' l) ↔ nodup l"", 'theorem nodup_sublists {l : list α} : nodup (sublists l) ↔ nodup l', ""theorem sublists_eq_sublists' (l : list α) : sublists l = map reverse (sublists' (reverse l))""]"
3,2,122,2_inv_yhom_fobj_isiso,"['inv', 'yhom', 'fobj', 'isiso', 'app', 'xinv', 'yinv', 'finv', 'tensor', 'fmap']","['lemma naturality_1 (α : F ≅ G) (f : X ⟶ Y) :\n  α.inv.app X ≫ F.map f ≫ α.hom.app Y = G.map f', 'lemma pentagon_hom_inv_inv_inv_inv (f : a ⟶ b) (g : b ⟶ c) (h : c ⟶ d) (i : d ⟶ e) :\n  f ◁ (α_ g h i).hom ≫ (α_ f g (h ≫ i)).inv ≫ (α_ (f ≫ g) h i).inv =\n    (α_ f (g ≫ h) i).inv ≫ (α_ f g h).inv ▷ i', 'lemma app_inv {F G : C ⥤ D} (α : F ≅ G) (X : C) : (α.app X).inv = α.inv.app X']"
4,3,91,3_map_pmap_optionmap_amap,"['map', 'pmap', 'optionmap', 'amap', 'mapmap', 'prodmap', 'compmap', 'ret', 'fmap', 'bindret']","['lemma map_as_map {F : C → D} [functorial.{v₁ v₂} F] {X Y : C} {f : X ⟶ Y} :\n  functorial.map.{v₁ v₂} f = map F f', 'theorem map_add (f : α → β) (s t) : map f (s + t) = map f s + map f t', 'theorem map_cons (f : α → β) (a s) : map f (a ::ₘ s) = f a ::ₘ map f s']"
5,4,87,4_read_sbtw_char_ext,"['read', 'sbtw', 'char', 'ext', 'pwfilter', 'equivaddleft', 'punit', 'btw', 'right', 'dval']","['lemma read_write_of_ne (a : array n α) {i j : fin n} (v : α) : i ≠ j → read (write a i v) j = read a j', 'lemma ext {a b : d_array n α} (h : ∀ i, read a i = read b i) : a = b', 'lemma ext {a b : array n α} (h : ∀ i, read a i = read b i) : a = b']"
6,5,82,5_iic_iio_projiic_setiic,"['iic', 'iio', 'projiic', 'setiic', 'iicinfi', 'iicinfhom', 'ih', 'insertrec', 'preimageiic', 'monotoneiio']","['lemma Iio_subset_Iic (h : a ≤ b) : Iio a ⊆ Iic b', 'lemma Iio_ssubset_Iic_self : Iio a ⊂ Iic a', 'lemma Iio_union_right : Iio a ∪ {a} = Iic a']"
7,6,81,6_clog_log_hn_hk,"['clog', 'log', 'hn', 'hk', 'coepow', 'hy', 'clogmonoright', 'clogofleftleone', 'clogoneright', 'powlepow']","['lemma clog_pos {b n : ℕ} (hb : 1 < b) (hn : 2 ≤ n) : 0 < clog b n', 'lemma clog_of_two_le {b n : ℕ} (hb : 1 < b) (hn : 2 ≤ n) :\n  clog b n = clog b ((n + b - 1)/b) + 1', 'lemma log_of_right_le_one (b : ℕ) {r : R} (hr : r ≤ 1) : log b r = -nat.clog b ⌈r⁻¹⌉₊']"
8,7,71,7_esymm_ftrans_etrans_symmap,"['esymm', 'ftrans', 'etrans', 'symmap', 'transapply', 'sym', 'ysymm', 'symmsymm', 'singleobj', 'selftranssymm']","['lemma map_map {α β γ : Type*} {n : ℕ} (g : β → γ) (f : α → β) (s : sym α n) :\n  sym.map g (sym.map f s) = sym.map (g ∘ f) s', 'lemma mem_map {n : ℕ} {f : α → β} {b : β} {l : sym α n} :\n  b ∈ sym.map f l ↔ ∃ a, a ∈ l ∧ f a = b', 'lemma map_id {α : Type*} {n : ℕ} (s : sym α n) : sym.map id s = s']"
9,8,68,8_ll_al_alternatingprod_list,"['ll', 'al', 'alternatingprod', 'list', 'xl', 'sublistappendright', 'at', 'length', 'bfactors', 'rdropwhile']","['theorem sublist_or_mem_of_sublist {l l₁ l₂ : list α} {a : α} (h : l <+ l₁ ++ a::l₂) :\n  l <+ l₁ ++ l₂ ∨ a ∈ l', 'theorem perm_middle {a : α} : ∀ {l₁ l₂ : list α}, l₁++a::l₂ ~ a::(l₁++l₂)', 'theorem perm_append_right_iff {l₁ l₂ : list α} (l) : l₁++l ~ l₂++l ↔ l₁ ~ l₂']"
10,9,68,9_pure_traverse_lastfun_freesemigroup,"['pure', 'traverse', 'lastfun', 'freesemigroup', 'fs', 'freemagma', 'terminates', 'compmk', 'eqv', 'equivtraverse']","['lemma preserves_pure {α} : ∀ (x : α), η (pure x) = pure x', 'lemma pure_seq {f : α → β} {x : free_semigroup α} :\n  pure f <*> x = f <$> x', ""lemma traverse_nil : traverse f ([] : list α') = (pure [] : F (list β'))""]"
11,10,68,10_prodcomm_prodswap_p1_tnonempty,"['prodcomm', 'prodswap', 'p1', 'tnonempty', 'q1', 'p2', 'coeprodcomm', 'equivprodassoc', 'range', 'prodmonoleft']","['lemma curry_symm_apply (f : α →o β →o γ) (x : α × β) : curry.symm f x = f x.1 x.2', 'lemma prod_univ_range_eq {m₂ : β → δ} :\n  (univ : set α) ×ˢ (range m₂) = range (λ p : α × β, (p.1, m₂ p.2))', 'lemma prod_range_univ_eq {m₁ : α → γ} :\n  (range m₁) ×ˢ (univ : set β) = range (λ p : α × β, (m₁ p.1, p.2))']"
12,11,67,11_insert_lt_sbunion_minsert,"['insert', 'lt', 'sbunion', 'minsert', 'isstrictweakorder', 'tinsert', 'meminsertofmem', 'rbmap', 'ordnodeinsert', 'vfind']","['theorem insert_diff_singleton {a : α} {s : set α} :\n  insert a (s \\ {a}) = insert a s', ""theorem powerset_insert (s : set α) (a : α) :\n  𝒫 (insert a s) = 𝒫 s ∪ (insert a '' 𝒫 s)"", 'lemma insert_idem (a : α) (s : set α) : insert a (insert a s) = insert a s']"
13,12,65,12_min_max_minfac_k2,"['min', 'max', 'minfac', 'k2', 'eqleafofmineqnone', 'minleiff', 'coemin', 'factorshelper', 'minimum', 'natminfac']","['lemma min_self (a : α) : min a a = a', 'lemma min_top_left [order_top α] (a : α) : min ⊤ a = a', 'lemma min_left_commutative : left_commutative (min : α → α → α)']"
